lambdaAM15	PhotonenAM15
701.0	4.4733E+18
702.0	4.4850E+18
703.0	4.5173E+18
704.0	4.6412E+18
705.0	4.6961E+18
706.0	4.6778E+18
707.0	4.6652E+18
708.0	4.6568E+18
709.0	4.6802E+18
710.0	4.7154E+18
711.0	4.7149E+18
712.0	4.6914E+18
713.0	4.6430E+18
714.0	4.6895E+18
715.0	4.5367E+18
716.0	4.5896E+18
717.0	4.0015E+18
718.0	3.7265E+18
719.0	3.3460E+18
720.0	3.5769E+18
721.0	3.9475E+18
722.0	4.5156E+18
723.0	4.1709E+18
724.0	3.8522E+18
725.0	3.7936E+18
726.0	3.9573E+18
727.0	3.9763E+18
728.0	3.8166E+18
729.0	3.8461E+18
730.0	4.1528E+18
731.0	3.9440E+18
732.0	4.2560E+18
733.0	4.4200E+18
734.0	4.5722E+18
735.0	4.5121E+18
736.0	4.4741E+18
737.0	4.4727E+18
738.0	4.5644E+18
739.0	4.4349E+18
740.0	4.5491E+18
741.0	4.5377E+18
742.0	4.5457E+18
743.0	4.6462E+18
744.0	4.6892E+18
745.0	4.6933E+18
746.0	4.6894E+18
747.0	4.6983E+18
748.0	4.6760E+18
749.0	4.6656E+18
750.0	4.6658E+18
751.0	4.6512E+18
752.0	4.6741E+18
753.0	4.6560E+18
754.0	4.7207E+18
755.0	4.7129E+18
756.0	4.6616E+18
757.0	4.6635E+18
758.0	4.6980E+18
759.0	4.5703E+18
760.0	1.0192E+18
761.0	5.9062E+17
762.0	2.6414E+18
763.0	1.4597E+18
764.0	2.0750E+18
765.0	2.6455E+18
766.0	3.1455E+18
767.0	3.7665E+18
768.0	4.3120E+18
769.0	4.3719E+18
770.0	4.5057E+18
771.0	4.5419E+18
772.0	4.5836E+18
773.0	4.5868E+18
774.0	4.5927E+18
775.0	4.5986E+18
776.0	4.6151E+18
777.0	4.5933E+18
778.0	4.5937E+18
779.0	4.6200E+18
780.0	4.5752E+18
781.0	4.5697E+18
782.0	4.5972E+18
783.0	4.5841E+18
784.0	4.5592E+18
785.0	4.5848E+18
786.0	4.5930E+18
787.0	4.5425E+18
788.0	4.4907E+18
789.0	4.4773E+18
790.0	4.3448E+18
791.0	4.4093E+18
792.0	4.3729E+18
793.0	4.3473E+18
794.0	4.3916E+18
795.0	4.3811E+18
796.0	4.3103E+18
797.0	4.3845E+18
798.0	4.4736E+18
799.0	4.3922E+18
800.0	4.3251E+18
801.0	4.3782E+18
802.0	4.3889E+18
803.0	4.3138E+18
804.0	4.3699E+18
805.0	4.2791E+18
806.0	4.4588E+18
807.0	4.4175E+18
808.0	4.4075E+18
809.0	4.3016E+18
810.0	4.3114E+18
811.0	4.3061E+18
812.0	4.2030E+18
813.0	4.1335E+18
814.0	3.7076E+18
815.0	3.6779E+18
816.0	3.4230E+18
817.0	3.5082E+18
818.0	3.3920E+18
819.0	3.7371E+18
820.0	3.5627E+18
821.0	4.1289E+18
822.0	3.9430E+18
823.0	2.7909E+18
824.0	3.8840E+18
825.0	4.0313E+18
826.0	3.8882E+18
827.0	4.1049E+18
828.0	3.5470E+18
829.0	3.8835E+18
830.0	3.8326E+18
831.0	3.8703E+18
832.0	3.7506E+18
833.0	4.0165E+18
834.0	3.9272E+18
835.0	4.2227E+18
836.0	4.0977E+18
837.0	4.2581E+18
838.0	4.2201E+18
839.0	4.2349E+18
840.0	4.3009E+18
841.0	4.2823E+18
842.0	4.2319E+18
843.0	4.2721E+18
844.0	4.1963E+18
845.0	4.3299E+18
846.0	4.3444E+18
847.0	4.2343E+18
848.0	4.2413E+18
849.0	4.2197E+18
850.0	3.8294E+18
851.0	4.1823E+18
852.0	4.1629E+18
853.0	4.1488E+18
854.0	3.6641E+18
855.0	3.9351E+18
856.0	4.1993E+18
857.0	4.2841E+18
858.0	4.2904E+18
859.0	4.2943E+18
860.0	4.2839E+18
861.0	4.2829E+18
862.0	4.3214E+18
863.0	4.3525E+18
864.0	4.2646E+18
865.0	4.2001E+18
866.0	3.7063E+18
867.0	4.0010E+18
868.0	4.1970E+18
869.0	4.1596E+18
870.0	4.2433E+18
871.0	4.1881E+18
872.0	4.2500E+18
873.0	4.2125E+18
874.0	4.1433E+18
875.0	4.0883E+18
876.0	4.2073E+18
877.0	4.2271E+18
878.0	4.2152E+18
879.0	4.1499E+18
880.0	4.1680E+18
881.0	4.0352E+18
882.0	4.1458E+18
883.0	4.1363E+18
884.0	4.1579E+18
885.0	4.2124E+18
886.0	4.0533E+18
887.0	4.0717E+18
888.0	4.1285E+18
889.0	4.1881E+18
890.0	4.1452E+18
891.0	4.1584E+18
892.0	4.0865E+18
893.0	3.9311E+18
894.0	3.8365E+18
895.0	3.6706E+18
896.0	3.4441E+18
897.0	3.0099E+18
898.0	3.2493E+18
899.0	2.4867E+18
900.0	3.3691E+18
901.0	2.7221E+18
902.0	3.0370E+18
903.0	3.1358E+18
904.0	3.8487E+18
905.0	3.7276E+18
906.0	3.5422E+18
907.0	2.9195E+18
908.0	2.9851E+18
909.0	3.2273E+18
910.0	2.8655E+18
911.0	3.0680E+18
912.0	3.1673E+18
913.0	2.8919E+18
914.0	2.8865E+18
915.0	3.1289E+18
916.0	2.6618E+18
917.0	3.3753E+18
918.0	2.7428E+18
919.0	3.4225E+18
920.0	3.4511E+18
921.0	3.6236E+18
922.0	3.2546E+18
923.0	3.4665E+18
924.0	3.3606E+18
925.0	3.3158E+18
926.0	3.2830E+18
927.0	3.6796E+18
928.0	2.7585E+18
929.0	2.5816E+18
930.0	2.0257E+18
931.0	1.9205E+18
932.0	1.4135E+18
933.0	1.1683E+18
934.0	6.7705E+17
935.0	1.1823E+18
936.0	7.6163E+17
937.0	7.7171E+17
938.0	9.4843E+17
939.0	1.8880E+18
940.0	2.2357E+18
941.0	1.7644E+18
942.0	1.9247E+18
943.0	1.3231E+18
944.0	1.3600E+18
945.0	1.7540E+18
946.0	9.2805E+17
947.0	1.7716E+18
948.0	1.3105E+18
949.0	2.3630E+18
950.0	7.0522E+17
951.0	2.3192E+18
952.0	1.2905E+18
953.0	1.6508E+18
954.0	2.0396E+18
955.0	1.6424E+18
956.0	1.5817E+18
957.0	1.3058E+18
958.0	2.2263E+18
959.0	1.8073E+18
960.0	2.0357E+18
961.0	2.2342E+18
962.0	2.1422E+18
963.0	2.4516E+18
964.0	2.2286E+18
965.0	2.4505E+18
966.0	2.4482E+18
967.0	2.4490E+18
968.0	3.1820E+18
969.0	3.3520E+18
970.0	3.1031E+18
971.0	3.4947E+18
972.0	3.3694E+18
973.0	2.9747E+18
974.0	2.8246E+18
975.0	2.8992E+18
976.0	2.8138E+18
977.0	3.1453E+18
978.0	3.0324E+18
979.0	3.1493E+18
980.0	2.9872E+18
981.0	3.5278E+18
982.0	3.4264E+18
983.0	3.3133E+18
984.0	3.6573E+18
985.0	3.4170E+18
986.0	3.7319E+18
987.0	3.6782E+18
988.0	3.6588E+18
989.0	3.7344E+18
990.0	3.6544E+18
991.0	3.7646E+18
992.0	3.7556E+18
993.0	3.6906E+18
994.0	3.7786E+18
995.0	3.7706E+18
996.0	3.7598E+18
997.0	3.7177E+18
998.0	3.7172E+18
999.0	3.7194E+18
1000.0	3.7067E+18
1001.0	3.7563E+18
1002.0	3.6774E+18
1003.0	3.7133E+18
1004.0	3.6610E+18
1005.0	3.4538E+18
1006.0	3.6133E+18
1007.0	3.6931E+18
1008.0	3.6933E+18
1009.0	3.6607E+18
1010.0	3.6614E+18
1011.0	3.6836E+18
1012.0	3.6668E+18
1013.0	3.6645E+18
1014.0	3.6838E+18
1015.0	3.6234E+18
1016.0	3.6430E+18
1017.0	3.6059E+18
1018.0	3.6652E+18
1019.0	3.5381E+18
1020.0	3.5939E+18
1021.0	3.6118E+18
1022.0	3.5532E+18
1023.0	3.5845E+18
1024.0	3.5647E+18
1025.0	3.6041E+18
1026.0	3.6016E+18
1027.0	3.5880E+18
1028.0	3.5956E+18
1029.0	3.5598E+18
1030.0	3.5855E+18
1031.0	3.5724E+18
1032.0	3.5785E+18
1033.0	3.5208E+18
1034.0	3.5452E+18
1035.0	3.5600E+18
1036.0	3.5618E+18
1037.0	3.5284E+18
1038.0	3.5148E+18
1039.0	3.5425E+18
1040.0	3.5215E+18
1041.0	3.5252E+18
1042.0	3.5298E+18
1043.0	3.4977E+18
1044.0	3.5173E+18
1045.0	3.5006E+18
1046.0	3.4123E+18
1047.0	3.4673E+18
1048.0	3.5012E+18
1049.0	3.4846E+18
1050.0	3.4650E+18
1051.0	3.4713E+18
1052.0	3.4533E+18
1053.0	3.4460E+18
1054.0	3.4348E+18
1055.0	3.4487E+18
1056.0	3.4410E+18
1057.0	3.4358E+18
1058.0	3.4036E+18
1059.0	3.3031E+18
1060.0	3.3976E+18
1061.0	3.3225E+18
1062.0	3.3869E+18
1063.0	3.3351E+18
1064.0	3.3896E+18
1065.0	3.3776E+18
1066.0	3.3163E+18
1067.0	3.3365E+18
1068.0	3.3349E+18
1069.0	3.1592E+18
1070.0	3.2616E+18
1071.0	3.3290E+18
1072.0	3.3254E+18
1073.0	3.2650E+18
1074.0	3.3652E+18
1075.0	3.2109E+18
1076.0	3.3342E+18
1077.0	3.2810E+18
1078.0	3.2779E+18
1079.0	3.2893E+18
1080.0	3.2514E+18
1081.0	3.1651E+18
1082.0	3.2148E+18
1083.0	3.2655E+18
1084.0	3.1613E+18
1085.0	3.2450E+18
1086.0	3.0334E+18
1087.0	3.1067E+18
1088.0	3.2533E+18
1089.0	3.1795E+18
1090.0	3.0535E+18
1091.0	3.2357E+18
1092.0	3.1996E+18
1093.0	2.8132E+18
1094.0	2.9761E+18
1095.0	2.8740E+18
1096.0	2.7803E+18
1097.0	3.1992E+18
1098.0	2.7836E+18
1099.0	2.8128E+18
1100.0	2.6936E+18
1101.0	2.7582E+18
1102.0	2.6044E+18
1103.0	2.5931E+18
1104.0	2.6026E+18
1105.0	2.8210E+18
1106.0	2.2185E+18
1107.0	2.6955E+18
1108.0	2.3216E+18
1109.0	2.3076E+18
1110.0	2.6802E+18
1111.0	1.8568E+18
1112.0	2.3183E+18
1113.0	1.5064E+18
1114.0	1.6838E+18
1115.0	1.4044E+18
1116.0	1.1328E+18
1117.0	4.4831E+17
1118.0	1.2260E+18
1119.0	6.3837E+17
1120.0	8.0109E+17
1121.0	1.0503E+18
1122.0	4.6201E+17
1123.0	7.2557E+17
1124.0	6.1590E+17
1125.0	8.1822E+17
1126.0	2.9283E+17
1127.0	8.9336E+17
1128.0	5.6421E+17
1129.0	6.0276E+17
1130.0	4.0201E+17
1131.0	1.6853E+18
1132.0	1.3359E+18
1133.0	8.7562E+17
1134.0	2.3860E+17
1135.0	8.8466E+16
1136.0	7.3735E+17
1137.0	1.6498E+18
1138.0	1.1662E+18
1139.0	1.7139E+18
1140.0	1.4711E+18
1141.0	1.1122E+18
1142.0	1.2941E+18
1143.0	1.7967E+18
1144.0	6.5315E+17
1145.0	8.4293E+17
1146.0	9.1068E+17
1147.0	3.4215E+17
1148.0	1.5690E+18
1149.0	1.2658E+18
1150.0	7.0516E+17
1151.0	1.1802E+18
1152.0	1.4380E+18
1153.0	1.3840E+18
1154.0	8.2884E+17
1155.0	1.8233E+18
1156.0	1.6369E+18
1157.0	1.8348E+18
1158.0	1.8196E+18
1159.0	1.9685E+18
1160.0	1.6752E+18
1161.0	2.0339E+18
1162.0	2.0503E+18
1163.0	2.7471E+18
1164.0	2.3581E+18
1165.0	2.2821E+18
1166.0	2.2038E+18
1167.0	2.4117E+18
1168.0	2.4702E+18
1169.0	2.4933E+18
1170.0	2.7056E+18
1171.0	2.6464E+18
1172.0	2.6871E+18
1173.0	2.6988E+18
1174.0	1.9939E+18
1175.0	2.6796E+18
1176.0	2.8265E+18
1177.0	2.8026E+18
1178.0	2.1378E+18
1179.0	2.8748E+18
1180.0	2.6214E+18
1181.0	2.7096E+18
1182.0	1.9256E+18
1183.0	2.6162E+18
1184.0	2.5059E+18
1185.0	2.4337E+18
1186.0	2.8527E+18
1187.0	2.7270E+18
1188.0	2.0064E+18
1189.0	2.4915E+18
1190.0	2.7738E+18
1191.0	2.6813E+18
1192.0	2.8443E+18
1193.0	2.7323E+18
1194.0	2.8223E+18
1195.0	2.6925E+18
1196.0	2.6004E+18
1197.0	2.8791E+18
1198.0	2.6205E+18
1199.0	2.2054E+18
1200.0	2.7115E+18
1201.0	2.6462E+18
1202.0	2.6489E+18
1203.0	2.6324E+18
1204.0	2.1999E+18
1205.0	2.6540E+18
1206.0	2.9233E+18
1207.0	2.6155E+18
1208.0	2.6395E+18
1209.0	2.5248E+18
1210.0	2.7653E+18
1211.0	2.5781E+18
1212.0	2.5959E+18
1213.0	2.8712E+18
1214.0	2.6564E+18
1215.0	2.6202E+18
1216.0	2.8589E+18
1217.0	2.7931E+18
1218.0	2.8203E+18
1219.0	2.7445E+18
1220.0	2.8170E+18
1221.0	2.8640E+18
1222.0	2.7806E+18
1223.0	2.7377E+18
1224.0	2.7647E+18
1225.0	2.8552E+18
1226.0	2.8935E+18
1227.0	2.6785E+18
1228.0	2.8883E+18
1229.0	2.8945E+18
1230.0	2.8524E+18
1231.0	2.9291E+18
1232.0	2.8961E+18
1233.0	2.8217E+18
1234.0	2.9247E+18
1235.0	2.8951E+18
1236.0	2.9227E+18
1237.0	2.8895E+18
1238.0	2.9205E+18
1239.0	2.8900E+18
1240.0	2.8802E+18
1241.0	2.8900E+18
1242.0	2.8955E+18
1243.0	2.8669E+18
1244.0	2.8550E+18
1245.0	2.8653E+18
1246.0	2.8858E+18
1247.0	2.8756E+18
1248.0	2.8851E+18
1249.0	2.8941E+18
1250.0	2.8800E+18
1251.0	2.8541E+18
1252.0	2.8462E+18
1253.0	2.8280E+18
1254.0	2.8043E+18
1255.0	2.8513E+18
1256.0	2.7873E+18
1257.0	2.7584E+18
1258.0	2.8217E+18
1259.0	2.7116E+18
1260.0	2.7382E+18
1261.0	2.6155E+18
1262.0	2.5171E+18
1263.0	2.5479E+18
1264.0	2.3670E+18
1265.0	2.5233E+18
1266.0	2.4587E+18
1267.0	2.4795E+18
1268.0	2.3683E+18
1269.0	1.5770E+18
1270.0	2.4804E+18
1271.0	2.6157E+18
1272.0	2.6212E+18
1273.0	2.6070E+18
1274.0	2.6083E+18
1275.0	2.6501E+18
1276.0	2.6818E+18
1277.0	2.7037E+18
1278.0	2.7549E+18
1279.0	2.7373E+18
1280.0	2.7232E+18
1281.0	2.6692E+18
1282.0	2.4108E+18
1283.0	2.6344E+18
1284.0	2.7235E+18
1285.0	2.7465E+18
1286.0	2.7690E+18
1287.0	2.7387E+18
1288.0	2.7262E+18
1289.0	2.6599E+18
1290.0	2.6847E+18
1291.0	2.7194E+18
1292.0	2.5803E+18
1293.0	2.6891E+18
1294.0	2.6367E+18
1295.0	2.6448E+18
1296.0	2.5451E+18
